,participant,ori_st,ypos_pr,size,resp2.keys,resp2.rt,cond
0,k,U,T,0.6,,,UA
1,k,U,T,0.6,,,UA
2,k,U,T,1.4,,,UA
3,k,U,T,1.4,,,UA
4,k,U,T,1.4,,,UA
5,k,U,T,1.4,,,UA
6,k,U,T,0.6,,,UA
7,k,U,T,0.6,,,UA
8,k,U,T,0.9,0.0,1.2111490999959642,UA
9,k,U,T,0.6,0.0,1.1012745000043649,UA
10,k,U,T,1.2,1.0,0.6652746999898227,UA
11,k,U,T,0.9,0.0,0.9578609000018332,UA
12,k,U,T,1.0,0.0,0.8962623000115855,UA
13,k,U,T,1.4,1.0,0.7183348999969894,UA
14,k,U,T,1.1,1.0,0.9769639000005554,UA
15,k,U,T,0.8,0.0,0.7293154999933904,UA
16,k,U,T,1.2,1.0,0.7058010000037029,UA
17,k,U,T,1.4,1.0,0.7023615999933099,UA
18,k,U,T,1.0,1.0,2.6128483999927994,UA
19,k,U,T,0.8,0.0,0.8519166000041878,UA
20,k,U,T,0.6,0.0,0.8783639000030234,UA
21,k,U,T,1.1,1.0,1.4188318999949845,UA
22,k,U,T,1.2,1.0,1.0407127999933437,UA
23,k,U,T,1.4,1.0,0.9252084999898216,UA
24,k,U,T,0.8,0.0,2.119490600001882,UA
25,k,U,T,1.0,1.0,2.22501119998924,UA
26,k,U,T,0.9,0.0,1.0785395999992031,UA
27,k,U,T,0.6,0.0,1.120691700009047,UA
28,k,U,T,1.1,1.0,1.1330305000010412,UA
29,k,U,T,1.1,1.0,1.227157100001932,UA
30,k,U,T,0.8,0.0,1.0173497999930987,UA
31,k,U,T,0.9,1.0,2.7295639999938435,UA
32,k,U,T,0.6,0.0,0.9127442000026348,UA
33,k,U,T,1.2,1.0,1.7972982000064803,UA
34,k,U,T,1.4,1.0,0.9270857999945292,UA
35,k,U,T,1.0,0.0,7.717217899989919,UA
36,k,U,T,0.8,0.0,1.15716170000087,UA
37,k,U,T,0.9,0.0,1.8870757000113367,UA
38,k,U,T,0.6,0.0,0.8948598999995738,UA
39,k,U,T,0.9,1.0,2.29540969998925,UA
40,k,U,T,1.4,1.0,0.8447681999969063,UA
41,k,U,T,0.8,0.0,1.0152566000033405,UA
42,k,U,T,1.2,1.0,1.1175817000039387,UA
43,k,U,T,1.0,0.0,4.319513700000243,UA
44,k,U,T,1.1,1.0,2.2337741999945138,UA
45,k,U,T,1.4,1.0,1.173134000011487,UA
46,k,U,T,1.0,1.0,2.77939769999648,UA
47,k,U,T,1.1,1.0,2.0324683000071677,UA
48,k,U,T,0.6,0.0,1.3421426999993855,UA
49,k,U,T,1.2,1.0,1.1501889000064691,UA
50,k,U,T,0.8,0.0,4.124572500004433,UA
51,k,U,T,1.1,1.0,1.0026179999986198,UA
52,k,U,T,0.6,0.0,0.9488762999972096,UA
53,k,U,T,1.2,1.0,0.8750624999956926,UA
54,k,U,T,1.4,1.0,0.8075628000078723,UA
55,k,U,T,0.8,0.0,0.8421355999889784,UA
56,k,U,T,0.6,0.0,0.8044743999926139,UA
57,k,U,T,1.0,0.0,4.077090099992347,UA
58,k,U,T,0.9,0.0,1.404968600007123,UA
59,k,U,T,1.2,1.0,1.4314950999978464,UA
60,k,U,T,1.0,1.0,1.027282800001558,UA
61,k,U,T,1.4,1.0,0.8094065999903249,UA
62,k,U,T,0.9,0.0,1.6119398000009824,UA
63,k,U,T,1.1,1.0,4.4517689000058445,UA
64,k,U,T,1.1,,,UA
65,k,U,T,0.9,1.0,5.941328800006887,UA
66,k,U,T,1.1,1.0,0.9541371999948752,UA
67,k,U,T,1.1,1.0,0.7965155999991111,UA
68,k,U,T,0.8,0.0,0.6650767999963136,UA
69,k,U,T,0.6,0.0,0.6057018999999855,UA
70,k,U,T,0.6,0.0,0.6222973999974784,UA
71,k,U,T,1.0,0.0,9.940738400007833,UA
72,k,U,T,0.9,0.0,1.3669889000011608,UA
73,k,U,T,1.2,1.0,0.8890064000006532,UA
74,k,U,T,1.0,1.0,1.7234846000064863,UA
75,k,U,T,0.8,0.0,1.1472960000101011,UA
76,k,U,T,1.4,1.0,0.9855354999890552,UA
77,k,U,T,1.2,1.0,0.9518018999951892,UA
78,k,U,T,1.4,1.0,0.7400280000001658,UA
79,k,U,T,1.1,1.0,1.916474300000118,UA
80,k,U,T,1.4,1.0,0.7442459000012605,UA
81,k,U,T,1.0,0.0,0.8708769000077154,UA
82,k,U,T,0.8,0.0,0.8772441000037361,UA
83,k,U,T,1.0,1.0,2.159486799995648,UA
84,k,U,T,1.2,1.0,0.7151646999991499,UA
85,k,U,T,1.2,1.0,0.8676504000031855,UA
86,k,U,T,1.1,1.0,1.0458515000063926,UA
87,k,U,T,1.4,1.0,0.9841591000003972,UA
88,k,U,T,0.9,0.0,0.8385457999975188,UA
89,k,U,T,0.9,0.0,2.8488136999949347,UA
90,k,U,T,0.8,0.0,0.8420570000016596,UA
91,k,U,T,0.6,0.0,0.8203939999948489,UA
92,k,U,T,0.6,0.0,0.8668679999973392,UA
93,k,U,T,1.4,1.0,0.8573251999914646,UA
94,k,U,T,1.0,0.0,0.9116203000012321,UA
95,k,U,T,0.6,0.0,0.6439564000029351,UA
96,k,U,T,1.2,0.0,1.1906018000008771,UA
97,k,U,T,0.9,0.0,0.8507671999977902,UA
98,k,U,T,1.0,0.0,3.04327930000727,UA
99,k,U,T,1.1,1.0,1.2301412999950117,UA
100,k,U,T,0.8,0.0,1.7682571000041207,UA
101,k,U,T,1.1,0.0,0.9220444999955362,UA
102,k,U,T,1.4,1.0,0.7563273999985541,UA
103,k,U,T,0.9,0.0,0.8088105999922846,UA
104,k,U,T,0.6,0.0,0.7152200999989873,UA
105,k,U,T,0.8,0.0,0.6478207000036491,UA
106,k,U,T,1.2,1.0,0.7523294999991776,UA
107,k,U,T,1.4,1.0,0.6868479999975534,UA
108,k,U,T,0.9,0.0,0.8734811000031186,UA
109,k,U,T,0.6,0.0,0.6195821000001159,UA
110,k,U,T,1.0,0.0,0.5884638999996241,UA
111,k,U,T,0.6,0.0,0.5929565999977058,UA
112,k,U,T,1.2,1.0,1.3873817999992752,UA
113,k,U,T,0.8,0.0,0.7354200999980094,UA
114,k,U,T,1.1,1.0,3.6080953999917256,UA
115,k,U,T,0.9,0.0,0.8306534000003012,UA
116,k,U,T,1.1,1.0,2.5409902000101283,UA
117,k,U,T,1.4,1.0,0.7601797999959672,UA
118,k,U,T,0.8,0.0,1.4048901999922236,UA
119,k,U,T,1.0,0.0,10.434767000013382,UA
120,k,U,T,1.2,1.0,1.4507699999958277,UA
121,k,U,T,1.2,,,UA
122,k,,,,,,
123,k,I,T,1.4,,,IB
124,k,I,T,0.6,,,IB
125,k,I,T,1.4,,,IB
126,k,I,T,1.4,,,IB
127,k,I,T,0.6,,,IB
128,k,I,T,0.6,,,IB
129,k,I,T,1.4,,,IB
130,k,I,T,0.6,,,IB
131,k,I,T,0.6,0.0,1.0346605999948224,IB
132,k,I,T,0.8,0.0,2.7271482000069227,IB
133,k,I,T,0.6,0.0,0.7660622999974294,IB
134,k,I,T,1.0,1.0,2.632622499993886,IB
135,k,I,T,0.9,0.0,1.5559003000089433,IB
136,k,I,T,1.2,1.0,0.711816800001543,IB
137,k,I,T,0.8,0.0,0.894249300006777,IB
138,k,I,T,0.9,1.0,3.6286517999978973,IB
139,k,I,T,1.0,1.0,0.8472330999939004,IB
140,k,I,T,1.1,1.0,0.7413790999999037,IB
141,k,I,T,1.4,1.0,0.7181809999892721,IB
142,k,I,T,1.2,1.0,0.5605090000026394,IB
143,k,I,T,1.1,1.0,0.5790030000061961,IB
144,k,I,T,1.4,1.0,0.6737070999952266,IB
145,k,I,T,0.9,0.0,1.478108399998746,IB
