,sub,cond,x,y,rt
17,k,IU,0.97,0.0,1.7024758999996266
18,k,II,0.94,0.0,0.5745843000004243
19,k,IU,1.15,1.0,0.6096128999997745
20,k,IU,0.97,0.0,2.988473200000953
21,k,UI,0.85,0.0,0.5796995000000607
22,k,II,1.06,1.0,0.9987870000004476
23,k,UU,1.0,1.0,0.459350799999811
24,k,UI,0.94,0.0,2.252323000000615
25,k,II,0.97,0.0,0.7921518999992259
26,k,II,1.03,1.0,1.1830214999990858
27,k,UU,1.03,1.0,1.4073127000010572
28,k,IU,1.15,1.0,0.5857044999993377
29,k,UU,1.15,1.0,0.4027734999999666
30,k,UU,0.94,0.0,0.3998639000001276
31,k,IU,1.0,1.0,0.940702699999747
32,k,UI,0.94,0.0,1.1594001999983448
33,k,II,1.06,1.0,0.5979219999990164
34,k,IU,0.85,0.0,0.436949500000992
35,k,UI,0.97,1.0,4.499852300001294
36,k,UI,1.0,0.0,1.2364112999985082
37,k,II,1.0,0.0,0.5686814000000595
38,k,II,1.15,1.0,0.5395115999999689
39,k,UI,1.15,1.0,0.5246829999996407
40,k,UI,1.03,0.0,2.1295066000002407
41,k,UI,1.0,1.0,1.5634355999991385
42,k,UU,1.03,1.0,0.5655305000000226
43,k,IU,1.0,0.0,1.234633499998381
44,k,UU,0.97,0.0,1.1111027000006288
45,k,UU,0.85,0.0,0.4874415000012959
46,k,UI,1.03,1.0,0.4844900000007328
47,k,II,1.03,1.0,0.865596399999049
48,k,UU,1.06,1.0,0.5464128999992681
49,k,UI,1.06,1.0,0.4892612000003282
50,k,II,0.85,0.0,0.4602128999995329
51,k,UU,1.06,1.0,0.5832848999998532
52,k,UU,0.85,0.0,0.4963702999993984
53,k,II,0.85,0.0,0.4412277999999787
54,k,UU,0.94,0.0,1.1180156999998871
55,k,IU,0.94,0.0,0.4586139000002731
56,k,IU,0.94,0.0,0.5337792999998783
57,k,II,1.15,1.0,0.4708792999990692
58,k,UI,0.97,0.0,0.9736775000001217
59,k,UU,1.0,0.0,0.8162084000014147
60,k,IU,1.06,1.0,0.6110578999996505
61,k,IU,0.85,0.0,0.4881841000005806
62,k,UI,1.06,1.0,1.242983500000264
63,k,UU,1.15,1.0,0.4372810000004392
64,k,UU,0.97,0.0,0.8263708000013139
65,k,UI,1.15,1.0,0.5471768999996129
66,k,IU,1.03,0.0,0.6663133000001835
67,k,II,1.0,0.0,0.4570351999991544
68,k,II,0.97,0.0,0.8259006000007503
69,k,IU,1.03,1.0,1.234830499999589
70,k,UI,0.85,0.0,0.4712763000006816
71,k,II,0.94,0.0,0.6002974000002723
72,k,IU,1.06,1.0,0.8452960000013263
73,k,II,1.0,0.0,0.5939320000015869
74,k,IU,1.06,0.0,0.7427905000004102
75,k,II,1.06,1.0,0.4696853000004921
76,k,UI,0.94,0.0,2.412494800000786
77,k,IU,1.15,1.0,0.5202934999997524
78,k,UU,1.0,1.0,1.2453865000006772
79,k,II,1.15,1.0,0.4876929000001837
80,k,II,1.03,1.0,0.5386048000000301
81,k,UI,1.15,1.0,0.453673300000446
82,k,II,0.85,0.0,0.4866407000008621
83,k,UU,0.85,0.0,0.7776224999997794
84,k,UI,1.03,1.0,0.9703415000003588
85,k,IU,1.0,1.0,1.5272710000008374
86,k,IU,0.94,0.0,0.553380900000775
87,k,II,0.94,0.0,0.5762571999985084
88,k,II,0.97,0.0,1.641244899999947
89,k,UU,0.97,0.0,3.111435499999061
90,k,IU,0.94,0.0,0.6526018000004115
91,k,II,1.03,0.0,2.207627800000409
92,k,IU,0.85,0.0,0.5054903000000195
93,k,II,0.97,0.0,0.7282823999994434
94,k,UU,1.15,1.0,0.6030903999999282
95,k,UU,1.0,1.0,0.7359243999999308
96,k,II,0.85,0.0,0.5848745000002964
97,k,UU,1.03,1.0,0.6797475000003033
98,k,IU,0.97,0.0,0.5246872999996413
99,k,UU,1.06,1.0,0.5034563999997772
100,k,IU,1.0,0.0,1.216748099999677
101,k,UU,1.06,1.0,0.4731178000001819
102,k,IU,1.03,0.0,0.4060765999984141
103,k,II,1.0,0.0,1.5769443000008323
104,k,IU,1.03,0.0,0.7232792999984667
105,k,UU,0.94,0.0,0.4701091000006272
106,k,UI,1.03,1.0,0.6531709999999293
107,k,UI,1.06,1.0,0.3899632000011479
108,k,II,1.06,1.0,0.4550359999993816
109,k,UI,1.0,0.0,1.63418830000046
110,k,UI,0.97,0.0,0.64603409999836
111,k,UU,0.85,0.0,0.4511079000003519
112,k,UU,1.15,1.0,0.3921483000012813
113,k,UI,0.85,0.0,0.5750672000012855
114,k,UU,0.94,0.0,0.4500707999995939
115,k,IU,0.85,0.0,0.4390124999990803
116,k,II,0.94,0.0,0.4121021999999357
117,k,UI,0.97,0.0,0.4471784000015759
118,k,IU,0.97,0.0,0.4362470999985817
119,k,UI,1.0,0.0,1.1133146999982273
120,k,UI,0.85,0.0,0.4796512000011717
121,k,IU,1.06,1.0,1.206668200000422
122,k,UI,0.94,0.0,0.7232813000009628
123,k,IU,1.15,1.0,0.4220973999999842
124,k,UU,0.97,0.0,0.4532273000004352
125,k,II,1.15,1.0,0.4380983999999444
126,k,UI,1.15,1.0,0.485030399999232
127,k,UU,1.03,1.0,1.0582011000005878
128,k,UI,1.06,1.0,0.8426307999998244
130,k,IU,1.06,1.0,0.5152120000002469
131,k,UU,1.15,1.0,0.4240773000001354
132,k,IU,0.94,0.0,0.4652507000009791
133,k,IU,0.97,0.0,1.0742500999986078
134,k,II,1.15,1.0,0.4487898999996105
135,k,IU,0.97,0.0,1.3976454000003289
136,k,UI,1.0,1.0,1.2200842000002012
137,k,UU,1.03,1.0,0.7427437999995163
138,k,IU,1.15,1.0,0.4375201000002562
139,k,UI,1.06,1.0,0.4746573999982502
140,k,UI,1.06,1.0,0.4394259000000602
141,k,UI,1.15,1.0,0.4064283000006981
142,k,II,0.94,0.0,0.4516662999994878
143,k,UI,0.94,0.0,0.5905316999997012
144,k,IU,1.03,1.0,0.9734979000004388
145,k,UU,1.15,1.0,0.3680449000003136
146,k,IU,0.94,0.0,0.501166000000012
147,k,UU,0.85,0.0,0.3663751000003685
148,k,IU,0.85,0.0,0.4571503000006487
149,k,II,1.03,1.0,1.1942884999989474
150,k,IU,0.85,0.0,0.3847412999984954
151,k,II,1.15,1.0,0.4179203000003326
152,k,UU,0.85,0.0,0.4586894999993092
153,k,UU,0.97,0.0,1.1577250000009371
154,k,UU,0.94,0.0,0.9803281000004064
155,k,UI,1.03,1.0,0.5351227999999537
156,k,II,1.0,1.0,0.6799696999987646
157,k,II,1.06,1.0,0.5406574000007822
158,k,IU,1.0,0.0,0.6477211000001262
159,k,UU,1.03,1.0,1.044625399999859
160,k,UI,0.97,0.0,1.1911964999999327
161,k,IU,1.15,1.0,0.5996844000001147
162,k,UI,0.85,0.0,1.1487230000002455
163,k,UI,0.85,0.0,0.4691481999998359
164,k,UI,1.15,1.0,0.4442624000002979
165,k,UI,1.0,1.0,1.4253535000007105
166,k,UI,1.03,1.0,1.639653399999588
167,k,II,1.0,1.0,1.6280151999999362
168,k,II,0.97,0.0,0.921942899998612
169,k,UU,1.06,1.0,0.6708340000004682
170,k,IU,1.06,1.0,3.351461100000961
171,k,IU,1.0,1.0,1.4945545999999013
172,k,II,0.85,0.0,0.4808990999990783
173,k,II,0.97,0.0,0.4618675000001531
174,k,II,1.03,1.0,0.4950891999997111
175,k,II,1.06,1.0,0.6639273000000685
176,k,UU,0.97,0.0,0.7266913000003115
177,k,UI,0.97,1.0,1.2514864999993731
178,k,UU,1.0,1.0,1.2621005000000878
179,k,UU,0.94,0.0,0.4944961000001058
180,k,II,0.85,0.0,0.4335238000003301
181,k,IU,1.03,1.0,0.9766803000002257
182,k,UU,1.06,1.0,0.5211461999988387
183,k,UU,1.0,0.0,1.1340245999999752
184,k,II,0.94,0.0,0.6145517000004475
185,k,UI,0.94,0.0,0.6578167999996367
186,k,II,1.03,1.0,0.6184922000011284
187,k,IU,1.0,1.0,1.5314149000005273
188,k,IU,1.03,0.0,1.2136644999991404
189,k,UI,1.03,1.0,0.5120561000003363
190,k,UI,1.06,1.0,0.4690886999997019
191,k,II,0.97,0.0,0.6520557000003464
192,k,UU,0.94,0.0,1.0229153999989649
193,k,II,1.15,1.0,0.4636804999991
194,k,UI,1.0,1.0,2.678691200000685
195,k,UI,1.15,1.0,0.5059312000012142
196,k,II,1.06,1.0,0.4830222000000503
197,k,UI,1.03,1.0,1.024165199998606
198,k,UU,0.85,0.0,0.508603199999925
199,k,UU,1.0,0.0,0.427421400001549
200,k,UU,1.15,1.0,0.4426320999991731
201,k,II,0.94,0.0,0.4475763999998889
202,k,UI,0.85,0.0,0.5006439999997383
203,k,II,1.03,1.0,0.4614837999997689
204,k,IU,1.15,1.0,0.3825644999997166
205,k,II,0.85,0.0,0.5016546999995626
206,k,UI,0.94,0.0,1.3685407999983
207,k,UU,0.94,0.0,0.4049819000010757
208,k,UU,1.06,1.0,0.6899769000010565
209,k,UU,1.03,1.0,1.1009030000004714
210,k,UU,1.03,1.0,0.5034739000002446
211,k,UI,0.94,0.0,0.43244439999944
