,sub,cond,x,y,rt
17,i,UI,1.03,1.0,1.879161899909377
18,i,UI,1.03,1.0,0.4751350998412817
19,i,UI,0.97,1.0,0.424078700132668
20,i,UU,0.94,0.0,0.4491463999729603
21,i,UU,1.15,1.0,0.3582593998871743
22,i,II,0.94,0.0,0.4272795999422669
23,i,II,0.97,0.0,0.5802613999694586
24,i,II,1.0,0.0,0.4131671998184174
25,i,II,1.06,1.0,0.4001567000523209
26,i,IU,0.85,0.0,0.3273857000749558
27,i,IU,1.0,0.0,0.356451699975878
28,i,IU,1.03,0.0,0.3516830999869853
29,i,UI,1.0,0.0,0.334389999974519
30,i,UU,1.03,1.0,0.4236610999796539
31,i,IU,1.15,1.0,0.3846555000636726
32,i,UU,1.15,1.0,0.3696896999608725
33,i,UI,0.97,1.0,0.4288192999083549
34,i,II,0.94,0.0,0.363781499909237
35,i,UI,1.0,1.0,0.3587923999875784
36,i,II,0.85,0.0,0.3578715000767261
37,i,IU,1.03,0.0,0.773037499981001
38,i,UU,1.06,1.0,0.3738277000375092
39,i,IU,1.06,1.0,0.7049336000345647
40,i,UU,0.85,0.0,0.3756194000598043
41,i,UI,0.85,0.0,0.4347280999645591
42,i,IU,0.97,0.0,0.337836500024423
43,i,UI,1.06,1.0,0.3948918001260608
44,i,II,1.15,1.0,0.2959539000876248
45,i,II,1.06,0.0,0.3289443999528885
46,i,II,0.85,0.0,0.3580385001841932
47,i,II,1.03,1.0,0.4853089000098407
48,i,UU,1.0,1.0,1.0321728999260813
49,i,II,0.97,0.0,0.3827462000772357
50,i,IU,1.0,0.0,0.4638378999661654
51,i,IU,0.97,0.0,0.544889000011608
52,i,UI,1.15,1.0,0.3817880998831242
53,i,IU,0.94,0.0,0.3886273999232799
54,i,II,1.0,0.0,1.0776922998484224
55,i,UU,0.97,0.0,0.4363871000241488
56,i,UU,1.0,0.0,0.8675603999290615
57,i,UI,0.94,0.0,0.7301345998421311
58,i,IU,0.85,0.0,0.4709184998646378
59,i,II,1.03,1.0,0.4299914001021534
60,i,UI,0.94,0.0,0.358988800086081
61,i,IU,0.94,0.0,0.5342539001721889
62,i,UU,0.85,0.0,0.4869878001045435
63,i,UU,1.03,1.0,0.6760588998440653
64,i,UI,1.15,1.0,0.4567909000907093
65,i,IU,1.06,1.0,0.7720078998245299
66,i,IU,1.15,1.0,0.3987187999300658
67,i,UU,0.97,1.0,0.4918174999766052
68,i,II,1.15,1.0,0.3986325999721885
69,i,UU,1.06,1.0,0.683770899893716
70,i,UU,0.94,0.0,0.3846980999223888
71,i,UI,1.06,1.0,0.3337872000411153
72,i,UI,0.85,0.0,0.3746897000819444
73,i,IU,1.06,1.0,0.4018582000862807
74,i,UI,0.97,1.0,0.8367696001660079
