start_size,probe,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,jitter,start_size,probe_size,fix.started,fix.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,resp.started,resp.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,18.374076300002343,None,space,3.169631600001594,18.374076300002343,None,,,,,,,,,,,,,,,,,001,2021_Jun_30_1838,RM_sample6,2021.1.3,59.41756525810383,
1,-0.5,0,0,0,2,,,,,,,-0.047188714000016924,1,-0.5471887140000169,22.096876100000372,23.347172000001592,22.59707469999921,23.347172000001592,j,1.601605899999413,23.597710000001825,None,23.597710000001825,None,23.597710000001825,None,,001,2021_Jun_30_1838,RM_sample6,2021.1.3,59.41756525810383,
1,0.5,0,1,1,4,,,,,,,-0.01822242671764393,1,0.48177757328235604,25.713961199999176,26.96332220000113,26.214649600002303,26.980340800000704,f,0.5882409999976517,27.2131412000017,None,27.2131412000017,None,27.2131412000017,None,,001,2021_Jun_30_1838,RM_sample6,2021.1.3,59.41756525810383,
1,-1.5,0,2,2,0,,,,,,,0.012567799376270034,1,-1.48743220062373,28.313320600002044,29.56265859999985,28.813124800002697,29.56265859999985,j,0.4661572000004526,29.81334970000171,None,29.81334970000171,None,29.81334970000171,None,,001,2021_Jun_30_1838,RM_sample6,2021.1.3,59.41756525810383,
10,0.5,0,3,3,11,,,,,,,-0.020301415986679963,10,0.47969858401332005,30.780075400001806,32.02942410000105,31.279482400001143,32.02942410000105,f,0.3617919000025722,32.28078409999944,None,32.28078409999944,None,32.28078409999944,None,,001,2021_Jun_30_1838,RM_sample6,2021.1.3,59.41756525810383,
10,-1.0,0,4,4,8,,,,,,,0.06752547950319576,10,-0.9324745204968042,33.14629140000034,34.39614799999981,33.646033299999544,34.39614799999981,j,0.39440859999740496,34.646492100000614,None,34.646492100000614,None,34.646492100000614,None,,001,2021_Jun_30_1838,RM_sample6,2021.1.3,59.41756525810383,
1,-1.0,0,5,5,1,,,,,,,-0.06968870915446529,1,-1.0696887091544653,35.54665670000031,36.81188910000128,36.046524299999874,36.81188910000128,f,0.07251990000077058,37.046247700000094,None,37.046247700000094,None,37.046247700000094,None,,001,2021_Jun_30_1838,RM_sample6,2021.1.3,59.41756525810383,
