start_size,probe,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,polygon.started,polygon.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,11.251038899994455,None,space,1.6382896000286564,11.251038899994455,None,,,,,,,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,1.5,0,0,0,6,,,,,,,12.939734200015664,None,13.930333400028758,None,13.930333400028758,None,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
10,0.0,0,1,1,10,,,,,,,14.660822700010613,None,15.65151410002727,16.402004900039174,15.65151410002727,16.402004900039174,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,-1.5,0,2,2,0,,,,,,,16.41201710002497,None,17.402682499960065,None,17.402682499960065,None,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,-1.0,0,3,3,1,,,,,,,18.153195500024594,None,19.143867500009947,19.89437590003945,19.143867500009947,19.89437590003945,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
10,1.0,0,4,4,12,,,,,,,19.90446620003786,None,20.895054899971,21.645563500002027,20.895054899971,21.645563500002027,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,0.0,0,5,5,3,,,,,,,21.655562600004487,None,22.646277299965732,23.396743900026195,22.646277299965732,23.396743900026195,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
10,1.5,0,6,6,13,,,,,,,23.406750299967825,None,24.397419900051318,25.147930399980396,24.397419900051318,25.147930399980396,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,1.0,0,7,7,5,,,,,,,25.15793870005291,None,26.148613900062628,26.89912179997191,26.148613900062628,26.89912179997191,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,-0.5,0,8,8,2,,,,,,,26.909123999997973,None,27.89988469996024,28.650395500008017,27.89988469996024,28.650395500008017,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
10,-1.0,0,9,9,8,,,,,,,28.660347700002603,None,29.6510214000009,30.401583799975924,29.6510214000009,30.401583799975924,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,0.5,0,10,10,4,,,,,,,30.411522099981084,None,31.402170400018804,32.152678000042215,31.402170400018804,32.152678000042215,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
10,-1.5,0,11,11,7,,,,,,,32.162685799994506,None,33.15336060000118,None,33.15336060000118,None,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
10,0.5,0,12,12,11,,,,,,,33.90395790000912,None,34.894532899954356,35.645052499952726,34.894532899954356,35.645052499952726,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
10,-0.5,0,13,13,9,,,,,,,35.65505059994757,None,36.645814900053665,37.39633020001929,36.645814900053665,37.39633020001929,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,1.5,1,0,14,6,,,,,,,37.40635629999451,None,38.39691110001877,39.14741510001477,38.39691110001877,39.14741510001477,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,-0.5,1,1,15,2,,,,,,,39.157423199969344,None,40.148105400032364,40.898600599961355,40.148105400032364,40.898600599961355,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
10,1.5,1,2,16,13,,,,,,,40.908613899955526,None,41.899286100058816,42.64982649998274,41.899286100058816,42.64982649998274,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,0.0,1,3,17,3,,,,,,,42.65981490002014,None,43.65054770000279,44.401060799951665,43.65054770000279,44.401060799951665,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,1.0,1,4,18,5,,,,,,,44.41102730005514,None,45.40165719995275,46.15216389996931,45.40165719995275,46.15216389996931,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
10,-1.5,1,5,19,7,,,,,,,46.16217250004411,None,47.15284470003098,None,47.15284470003098,None,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
1,-1.0,1,6,20,1,,,,,,,47.90334910003003,None,48.894044299959205,49.64452470000833,48.894044299959205,49.64452470000833,,001,2021_Jun_30_1949,TTC_sample3,2021.1.3,99.86827369731273,
