trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fix.started,fix.stopped,polygon.started,polygon.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
39,0,39,0,,,,,,,184.1654028999983,None,185.14877200000046,185.89852299999984,185.14877200000046,185.89852299999984,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
40,0,40,0,,,,,,,185.91529599999922,None,186.89848739999798,187.6484055999972,186.89848739999798,187.6484055999972,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
41,0,41,0,,,,,,,187.66499280000062,None,188.64852169999722,189.39815389999785,188.64852169999722,189.39815389999785,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
42,0,42,0,,,,,,,189.41488089999984,None,190.3984304000005,191.14799239999775,190.3984304000005,191.14799239999775,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
43,0,43,0,,,,,,,191.1647196999984,None,192.14819839999836,192.8980202999992,192.14819839999836,192.8980202999992,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
44,0,44,0,,,,,,,192.91532609999922,None,193.89801499999885,194.6476834999994,193.89801499999885,194.6476834999994,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
45,0,45,0,,,,,,,194.6643383999981,None,195.64762709999923,196.39724379999825,195.64762709999923,196.39724379999825,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
46,0,46,0,,,,,,,196.41413779999857,None,197.3976518999989,198.1472047999996,197.3976518999989,198.1472047999996,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
47,0,47,0,,,,,,,198.1640157999973,None,199.14750859999913,199.89714079999976,199.14750859999913,199.89714079999976,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
48,0,48,0,,,,,,,199.91398859999754,None,200.89735129999826,201.64693289999923,200.89735129999826,201.64693289999923,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
49,0,49,0,,,,,,,201.66373109999768,None,202.64715660000002,203.39680249999947,202.64715660000002,203.39680249999947,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
50,0,50,0,,,,,,,203.41347689999748,None,204.3969655999972,205.14657869999792,204.3969655999972,205.14657869999792,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
51,0,51,0,,,,,,,205.16322650000075,None,206.14669069999945,206.89645670000027,206.14669069999945,206.89645670000027,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
52,0,52,0,,,,,,,206.91315720000057,None,207.89655649999986,208.6458720999981,207.89655649999986,208.6458720999981,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
53,0,53,0,,,,,,,208.66288200000054,None,209.6463791999995,210.39603779999743,209.6463791999995,210.39603779999743,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
54,0,54,0,,,,,,,210.41275089999908,None,211.39601100000073,212.1459329999998,211.39601100000073,212.1459329999998,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
55,0,55,0,,,,,,,212.16268059999857,None,213.14581299999918,213.89571269999942,213.14581299999918,213.89571269999942,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
56,0,56,0,,,,,,,213.91246409999803,None,214.895773799999,215.64534450000065,214.895773799999,215.64534450000065,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
57,0,57,0,,,,,,,215.66229649999877,None,216.6455367999988,217.39548529999956,216.6455367999988,217.39548529999956,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
58,0,58,0,,,,,,,217.41197859999738,None,218.3952250000002,219.14500419999968,218.3952250000002,219.14500419999968,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
59,0,59,0,,,,,,,219.16189870000017,None,220.1453149000008,220.89497950000077,220.1453149000008,220.89497950000077,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
60,0,60,0,,,,,,,220.91181270000016,None,221.89505250000002,222.64500159999807,221.89505250000002,222.64500159999807,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
61,0,61,0,,,,,,,222.66155660000004,None,223.64504060000036,224.39479120000033,223.64504060000036,224.39479120000033,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
62,0,62,0,,,,,,,224.41144409999833,None,225.39459200000056,226.14454569999725,225.39459200000056,226.14454569999725,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
63,0,63,0,,,,,,,226.16124710000076,None,227.14445599999817,227.89457140000013,227.14445599999817,227.89457140000013,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
64,0,64,0,,,,,,,227.91101720000006,None,228.8946689000004,229.64428100000077,228.8946689000004,229.64428100000077,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
65,0,65,0,,,,,,,229.66086709999945,None,230.64425929999925,231.39385860000039,230.64425929999925,231.39385860000039,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
66,0,66,0,,,,,,,231.4104686999999,None,232.39419869999983,233.14371369999935,232.39419869999983,233.14371369999935,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
67,0,67,0,,,,,,,233.16049489999932,None,234.1442117000006,234.8936618000007,234.1442117000006,234.8936618000007,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
68,0,68,0,,,,,,,234.91029049999997,None,235.89365019999968,236.6436238999995,235.89365019999968,236.6436238999995,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
69,0,69,0,,,,,,,236.66005129999758,None,237.64366959999825,238.39344639999763,237.64366959999825,238.39344639999763,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
70,0,70,0,,,,,,,238.4098097999995,None,239.39322270000048,240.14326399999845,239.39322270000048,240.14326399999845,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
71,0,71,0,,,,,,,240.159846999999,None,241.14320489999955,241.8927115999977,241.14320489999955,241.8927115999977,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
72,0,72,0,,,,,,,241.909377699998,None,242.89337030000024,243.642907999998,242.89337030000024,243.642907999998,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
73,0,73,0,,,,,,,243.65915289999975,None,244.64313799999945,245.39281309999933,244.64313799999945,245.39281309999933,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
74,0,74,0,,,,,,,245.40913530000034,None,246.39280139999755,247.14251650000006,246.39280139999755,247.14251650000006,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
75,0,75,0,,,,,,,247.15910040000017,None,248.14271599999847,248.89246029999777,248.14271599999847,248.89246029999777,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
76,0,76,0,,,,,,,248.90897439999753,None,249.8922961999997,250.6422582999985,249.8922961999997,250.6422582999985,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
77,0,77,0,,,,,,,250.6584903999974,None,251.64246309999726,252.39201580000008,251.64246309999726,252.39201580000008,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
78,0,78,0,,,,,,,252.40865249999842,252.40865249999842,253.39222439999867,254.14181610000014,253.39222439999867,254.14181610000014,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
79,0,79,0,,,,,,,254.1585546999995,254.1585546999995,255.14189869999973,255.8913756999973,255.14189869999973,255.8913756999973,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
80,0,80,0,,,,,,,255.90837330000068,255.90837330000068,256.8916105999997,257.64124900000024,256.8916105999997,257.64124900000024,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
81,0,81,0,,,,,,,257.65833179999754,257.65833179999754,258.641648599998,259.39125179999974,258.641648599998,259.39125179999974,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
82,0,82,0,,,,,,,259.4080584000003,259.4080584000003,260.3917115000004,261.1412191999989,260.3917115000004,261.1412191999989,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
83,0,83,0,,,,,,,261.1578448,261.1578448,262.1414414999999,262.89115590000074,262.1414414999999,262.89115590000074,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
84,0,84,0,,,,,,,262.90769589999763,262.90769589999763,263.89082159999816,264.6406086999996,263.89082159999816,264.6406086999996,,001,2021_Jun_30_1847,TTC_sample3,2021.1.3,60.072002302557976,
