start_size,probe,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,jitter,start_size,probe_size,fix.started,fix.stopped,polygon.started,polygon.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,resp.started,resp.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,5.678510099998675,None,space,9.85939060000237,5.678510099998675,None,,,,,,,,,,,,,,,,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
1,1.5,0,0,0,6,,,,,,,0.09410914592399489,1,1.5941091459239949,16.10548370005563,17.356252099969424,16.60575670003891,17.356252099969424,j,35.38757440005429,17.606416600057855,None,17.606416600057855,None,17.606416600057855,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
10,0.0,0,1,1,10,,,,,,,0.09992264523010708,10,0.09992264523010708,53.520732300006784,54.771593300043605,54.02108320000116,54.771593300043605,j,2.548166000051424,55.02176340005826,None,55.02176340005826,None,55.02176340005826,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
1,1.0,0,2,2,5,,,,,,,-0.01676284107644377,1,0.9832371589235562,58.07383180002216,59.32474870001897,58.57413229998201,59.32474870001897,j,1.5632601999677718,59.57485179998912,None,59.57485179998912,None,59.57485179998912,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
10,1.5,0,3,3,13,,,,,,,-0.0885391674138085,10,1.4114608325861915,61.656263799988665,62.90710620000027,62.15659659996163,62.90710620000027,j,0.5567610999569297,63.15727490000427,None,63.15727490000427,None,63.15727490000427,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
1,-1.0,0,4,4,1,,,,,,,0.050358465996802576,1,-0.9496415340031974,64.22800530004315,65.47884270001668,64.72834050003439,65.47884270001668,j,0.5928888000780717,65.7290129000321,None,65.7290129000321,None,65.7290129000321,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
10,-0.5,0,5,5,9,,,,,,,-0.05272598682043894,10,-0.5527259868204389,66.82976730004884,68.08070030005183,67.33018980000634,68.08070030005183,j,10.631206799997017,68.33086740004364,None,68.33086740004364,None,68.33086740004364,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
1,-0.5,0,6,6,2,,,,,,,0.07290211763723273,1,-0.42709788236276724,79.48833550000563,80.73918559995946,79.98867979994975,80.73918559995946,j,0.6447257000254467,80.98935249994975,None,80.98935249994975,None,80.98935249994975,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
1,-1.5,0,7,7,0,,,,,,,-0.0650550226250976,1,-1.5650550226250977,82.15022650000174,83.40098699997179,82.65048289997503,83.40098699997179,f,0.36665460001677275,83.65115809999406,None,83.65115809999406,None,83.65115809999406,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
10,1.0,0,8,8,12,,,,,,,-0.07474583457450189,10,0.9252541654254981,84.5217523999745,85.77257889998145,85.022081800038,85.77257889998145,f,1.7552666999399662,86.0227648,None,86.0227648,None,86.0227648,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
10,-1.5,0,9,9,7,,,,,,,-0.012553091752143947,10,-1.512553091752144,88.29430369997863,89.54515130002983,88.79464930004906,89.54515130002983,j,2.6703865999588743,89.79540930001531,None,89.79540930001531,None,89.79540930001531,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
1,0.5,0,10,10,4,,,,,,,0.04285438386528645,1,0.5428543838652864,92.96746539999731,94.21831899997778,93.46780480002053,94.21831899997778,j,0.957345400005579,94.46849430003203,None,94.46849430003203,None,94.46849430003203,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
1,0.0,0,11,11,3,,,,,,,-0.06483774104294854,1,-0.06483774104294854,95.9294663000619,97.18040189996827,96.42989899998065,97.18040189996827,f,0.9713862000498921,97.4304923999589,None,97.4304923999589,None,97.4304923999589,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
10,0.5,0,12,12,11,,,,,,,0.03676007440657303,10,0.536760074406573,98.90149229997769,100.15233880002052,99.4018430999713,100.15233880002052,f,0.6874880000250414,100.40250850003213,None,100.40250850003213,None,100.40250850003213,None,,001,2021_Jun_30_1943,RM_sample6,2021.1.3,99.77092597513769,
