ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,13.351006899960339,None,space,118.08176590013318,13.351006899960339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2021_Jul_05_1503,toilet,2021.1.3,99.94992519488179,
180,0,-4,4,0.85,0,0,0,12,,,,,,,,,,,,,,,132.48137619998306,None,132.48137619998306,None,131.98113139998168,None,f,3.49510410008952,132.48137619998306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2021_Jul_05_1503,toilet,2021.1.3,99.94992519488179,
0,180,-4,4,0.85,0,1,1,4,,,,,,,,,,,,,,,137.0044360999018,None,137.0044360999018,None,136.5040986998938,None,j,3.659953099908307,137.0044360999018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2021_Jul_05_1503,toilet,2021.1.3,99.94992519488179,
180,180,-4,4,0.85,0,2,2,8,,,,,,,,,,,,,,,141.6676024000626,None,141.6676024000626,None,141.16726329992525,None,f,0.7729118000715971,141.6676024000626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2021_Jul_05_1503,toilet,2021.1.3,99.94992519488179,
180,180,-4,4,1.15,0,3,3,10,,,,,,,,,,,,,,,143.44880879996344,None,143.44880879996344,None,142.94846790004522,None,j,0.5279456998687238,143.44880879996344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2021_Jul_05_1503,toilet,2021.1.3,99.94992519488179,
0,0,-4,4,1.15,0,4,4,2,,,,,,,,,,,,,,,144.9998651999049,None,144.9998651999049,None,144.49952499987558,None,j,0.5766819000709802,144.9998651999049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2021_Jul_05_1503,toilet,2021.1.3,99.94992519488179,
180,180,-4,4,0.85,0,5,5,9,,,,,,,,,,,,,,,146.60094599984586,None,146.60094599984586,None,146.10070049995556,None,f,0.52754220017232,146.60094599984586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2021_Jul_05_1503,toilet,2021.1.3,99.94992519488179,
0,180,4,-4,1.15,0,6,6,7,,,,,,,,,,,,,,,148.14200229989365,None,148.14200229989365,None,147.6416529000271,None,f,0.6023357999511063,148.14200229989365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2021_Jul_05_1503,toilet,2021.1.3,99.94992519488179,
0,0,4,-4,1.15,0,7,7,3,,,,,,,,,,,,,,,149.75308639998548,None,149.75308639998548,None,149.25274539995007,None,f,1.247298900038004,149.75308639998548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2021_Jul_05_1503,toilet,2021.1.3,99.94992519488179,
0,180,-4,4,1.15,0,8,8,6,,,,,,,,,,,,,,,152.00464349985123,None,152.00464349985123,None,151.50427270005457,None,j,0.579706700053066,152.00464349985123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2021_Jul_05_1503,toilet,2021.1.3,99.94992519488179,
