ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
180,0,4,-4,0.85,,,,,0,0,0,0,0,2,2,49,,,,,,,,,,,,,,,,,,,,,,,227.9980689000222,None,227.9980689000222,None,227.49770170002012,None,j,0.4181752000004053,227.9980689000222,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,4,-4,1.03,,,,,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,229.41903540003113,None,229.41903540003113,None,228.91869030002272,None,f,1.7812693999730982,229.41903540003113,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,-4,4,1.0,,,,,0,0,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,232.20101100002648,None,232.20101100002648,None,231.70057690003887,None,j,0.727525099995546,232.20101100002648,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,4,-4,0.94,,,,,0,0,0,0,0,5,5,22,,,,,,,,,,,,,,,,,,,,,,,233.94209980004234,None,233.94209980004234,None,233.44177790003596,None,j,1.1943595999618992,233.94209980004234,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,4,-4,0.97,,,,,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,236.14358760003233,None,236.14358760003233,None,235.64325100003043,None,j,0.4968547999742441,236.14358760003233,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,4,-4,0.85,,,,,0,0,0,0,0,7,7,35,,,,,,,,,,,,,,,,,,,,,,,237.6546221000026,None,237.6546221000026,None,237.15427470003488,None,j,1.1778101000236347,237.6546221000026,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,4,-4,1.15,,,,,0,0,0,0,0,8,8,27,,,,,,,,,,,,,,,,,,,,,,,239.84618970000884,None,239.84618970000884,None,239.34576719999313,None,f,0.4743072999990545,239.84618970000884,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,-4,4,1.0,,,,,0,0,0,0,0,9,9,45,,,,,,,,,,,,,,,,,,,,,,,241.33711670001503,None,241.33711670001503,None,240.83685810002498,None,j,2.2471516000223346,241.33711670001503,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,4,-4,1.06,,,,,0,0,0,0,0,10,10,26,,,,,,,,,,,,,,,,,,,,,,,244.5893183000153,None,244.5893183000153,None,244.08896160003496,None,f,0.5309547000215389,244.5893183000153,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,-4,4,0.97,,,,,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,246.1204547000234,None,246.1204547000234,None,245.62001910002436,None,f,1.864118299970869,246.1204547000234,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,-4,4,1.0,,,,,0,0,0,0,0,12,12,17,,,,,,,,,,,,,,,,,,,,,,,249.00231569999596,None,249.00231569999596,None,248.5019692000351,None,j,2.438355699996464,249.00231569999596,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,-4,4,0.94,,,,,0,0,0,0,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,252.45465110003715,None,252.45465110003715,None,251.95431090000784,None,f,0.6338328999700025,252.45465110003715,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,-4,4,1.15,,,,,0,0,0,0,0,14,14,20,,,,,,,,,,,,,,,,,,,,,,,254.10585600003833,None,254.10585600003833,None,253.60546739998972,None,j,0.5026131000486203,254.10585600003833,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,4,-4,0.97,,,,,0,0,0,0,0,15,15,37,,,,,,,,,,,,,,,,,,,,,,,255.62684640003135,None,255.62684640003135,None,255.12648219999392,None,j,1.0774006000137888,255.62684640003135,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,-4,4,0.85,,,,,0,0,0,0,0,16,16,0,,,,,,,,,,,,,,,,,,,,,,,257.7082134000375,None,257.7082134000375,None,257.20787480002036,None,f,0.6122506000101566,257.7082134000375,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,4,-4,1.03,,,,,0,0,0,0,0,17,17,39,,,,,,,,,,,,,,,,,,,,,,,259.32931300002383,None,259.32931300002383,None,258.8289754000143,None,f,0.6074775999877602,259.32931300002383,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,-4,4,0.97,,,,,0,0,0,0,0,18,18,16,,,,,,,,,,,,,,,,,,,,,,,260.96044759999495,None,260.96044759999495,None,260.46008620003704,None,f,1.6159928999841213,260.96044759999495,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,-4,4,1.03,,,,,0,0,0,0,0,19,19,46,,,,,,,,,,,,,,,,,,,,,,,263.592213099997,None,263.592213099997,None,263.09186770004453,None,j,2.408369699958712,263.592213099997,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,4,-4,1.0,,,,,0,0,0,0,0,20,20,24,,,,,,,,,,,,,,,,,,,,,,,267.0145238999976,None,267.0145238999976,None,266.5142017999897,None,j,1.5458975999499671,267.0145238999976,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,-4,4,1.0,,,,,0,0,0,0,0,21,21,31,,,,,,,,,,,,,,,,,,,,,,,269.5763551000273,None,269.5763551000273,None,269.07593320001615,None,j,2.775906399998348,269.5763551000273,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,4,-4,0.97,,,,,0,0,0,0,0,22,22,51,,,,,,,,,,,,,,,,,,,,,,,273.35882640001364,None,273.35882640001364,None,272.85848670004634,None,j,1.9695933000184596,273.35882640001364,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,-4,4,0.97,,,,,0,0,0,0,0,23,23,30,,,,,,,,,,,,,,,,,,,,,,,276.340934100037,None,276.340934100037,None,275.8405094000045,None,f,1.3393605000455864,276.340934100037,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,-4,4,0.85,,,,,0,0,0,0,0,24,24,28,,,,,,,,,,,,,,,,,,,,,,,278.6924689000007,None,278.6924689000007,None,278.1921129000257,None,f,0.5878134000231512,278.6924689000007,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,4,-4,1.06,,,,,0,0,0,0,0,25,25,40,,,,,,,,,,,,,,,,,,,,,,,280.28352430002997,None,280.28352430002997,None,279.78318180004135,None,f,1.9090234999894165,280.28352430002997,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,4,-4,1.0,,,,,0,0,0,0,0,26,26,52,,,,,,,,,,,,,,,,,,,,,,,283.2055071000359,None,283.2055071000359,None,282.7051641000435,None,j,2.4107637999695726,283.2055071000359,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,-4,4,0.94,,,,,0,0,0,0,0,27,27,29,,,,,,,,,,,,,,,,,,,,,,,286.6178243000177,None,286.6178243000177,None,286.11747870000545,None,f,1.1264330000267364,286.6178243000177,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,0,-4,4,0.94,,,,,0,0,0,0,0,28,28,43,,,,,,,,,,,,,,,,,,,,,,,288.7492680000141,None,288.7492680000141,None,288.24893940001493,None,f,0.5790712999878451,288.7492680000141,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,180,4,-4,0.85,,,,,0,0,0,0,0,29,29,21,,,,,,,,,,,,,,,,,,,,,,,290.340344700031,None,290.340344700031,None,289.84000560001004,None,j,0.5559177999966778,290.340344700031,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,4,-4,0.94,,,,,0,0,0,0,0,30,30,36,,,,,,,,,,,,,,,,,,,,,,,291.90149190003285,None,291.90149190003285,None,291.4011518000043,None,j,0.5628355999942869,291.90149190003285,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
180,180,-4,4,1.15,,,,,0,0,0,0,0,31,31,34,,,,,,,,,,,,,,,,,,,,,,,293.47247120004613,None,293.47247120004613,None,292.97212390002096,None,j,0.49578810000093654,293.47247120004613,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,-4,4,1.06,,,,,0,0,0,0,0,32,32,5,,,,,,,,,,,,,,,,,,,,,,,294.9734839000157,None,294.9734839000157,None,294.4731567000272,None,j,0.5789253000402823,294.9734839000157,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
0,0,4,-4,1.0,,,,,0,0,0,0,0,33,33,10,,,,,,,,,,,,,,,,,,,,,,,296.56456299999263,None,296.56456299999263,None,296.0642228000215,None,j,2.4276942999567837,296.56456299999263,None,,,,,,,r,001,2021_Jul_10_1642,toilet,2021.1.3,99.89261545799386,
