ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
180,180,-4,4,1.03,,,,,0,0,0,0,0,0,0,32,,,,,,,,,,,,,,,,,209.49092479993124,None,space,75.74524489999749,209.49092479993124,None,286.25296750001144,None,286.25296750001144,None,285.7526267999783,None,j,1.383018200052902,286.25296750001144,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,180,-4,4,1.06,,,,,0,0,0,0,0,1,1,33,,,,,,,,,,,,,,,,,,,,,,,288.65460379992146,None,288.65460379992146,None,288.1542610999895,None,j,0.6935001000529155,288.65460379992146,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,180,4,-4,1.03,,,,,0,0,0,0,0,2,2,39,,,,,,,,,,,,,,,,,,,,,,,290.3657620999729,None,290.3657620999729,None,289.86551259993576,None,f,1.3022636999376118,290.3657620999729,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,0,4,-4,1.0,,,,,0,0,0,0,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,292.67732829996385,None,292.67732829996385,None,292.1769884999376,None,j,0.9426851999014616,292.67732829996385,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,180,4,-4,1.0,,,,,0,0,0,0,0,4,4,38,,,,,,,,,,,,,,,,,,,,,,,294.638660699944,None,294.638660699944,None,294.13832449994516,None,j,2.197226300020702,294.638660699944,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,0,4,-4,1.15,,,,,0,0,0,0,0,5,5,13,,,,,,,,,,,,,,,,,,,,,,,297.8409077000106,None,297.8409077000106,None,297.3405582999112,None,f,0.9151877000695094,297.8409077000106,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,0,-4,4,1.0,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,299.76213489996735,None,299.76213489996735,None,299.2617955999449,None,j,1.0737633999669924,299.76213489996735,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,0,-4,4,0.94,,,,,0,0,0,0,0,7,7,43,,,,,,,,,,,,,,,,,,,,,,,301.84355059999507,None,301.84355059999507,None,301.3432071999414,None,f,1.2164216000819579,301.84355059999507,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,0,-4,4,1.0,,,,,0,0,0,0,0,8,8,45,,,,,,,,,,,,,,,,,,,,,,,304.0651233999524,None,304.0651233999524,None,303.5647173000034,None,j,1.570976100047119,304.0651233999524,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,180,-4,4,1.0,,,,,0,0,0,0,0,9,9,17,,,,,,,,,,,,,,,,,,,,,,,306.6468019000022,None,306.6468019000022,None,306.1464658000041,None,j,1.7250681000296026,306.6468019000022,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,0,4,-4,0.94,,,,,0,0,0,0,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,309.3786585999187,None,309.3786585999187,None,308.87832209991757,None,j,1.2332551999716088,309.3786585999187,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,0,-4,4,1.06,,,,,0,0,0,0,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,311.6202541999519,None,311.6202541999519,None,311.1198463999899,None,j,0.9438439999939874,311.6202541999519,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,0,4,-4,0.85,,,,,0,0,0,0,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,313.58150620001834,None,313.58150620001834,None,313.08120319992304,None,j,0.9023943999782205,313.58150620001834,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,180,4,-4,1.15,,,,,0,0,0,0,0,13,13,41,,,,,,,,,,,,,,,,,,,,,,,315.492809999967,None,315.492809999967,None,314.99248359992635,None,f,0.8311784999677911,315.492809999967,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,0,-4,4,0.85,,,,,0,0,0,0,0,14,14,42,,,,,,,,,,,,,,,,,,,,,,,317.33405559998937,None,317.33405559998937,None,316.83371589996386,None,f,0.8779696000274271,317.33405559998937,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,0,-4,4,1.03,,,,,0,0,0,0,0,15,15,4,,,,,,,,,,,,,,,,,,,,,,,319.22541129996534,None,319.22541129996534,None,318.7249927999219,None,j,0.41058399993926287,319.22541129996534,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,180,4,-4,0.97,,,,,0,0,0,0,0,16,16,37,,,,,,,,,,,,,,,,,,,,,,,320.64631240000017,None,320.64631240000017,None,320.14605599991046,None,j,1.6935858000069857,320.64631240000017,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,180,-4,4,0.94,,,,,0,0,0,0,0,17,17,29,,,,,,,,,,,,,,,,,,,,,,,323.34814050002024,None,323.34814050002024,None,322.8477974999696,None,f,1.1677956000203267,323.34814050002024,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,0,-4,4,0.97,,,,,0,0,0,0,0,18,18,2,,,,,,,,,,,,,,,,,,,,,,,325.5296059999382,None,325.5296059999382,None,325.02926979993936,None,f,2.154288399964571,325.5296059999382,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,180,-4,4,0.97,,,,,0,0,0,0,0,19,19,16,,,,,,,,,,,,,,,,,,,,,,,328.69175260001794,None,328.69175260001794,None,328.1914211999392,None,j,2.0962441000156105,328.69175260001794,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,0,-4,4,1.03,,,,,0,0,0,0,0,20,20,46,,,,,,,,,,,,,,,,,,,,,,,331.79385839996394,None,331.79385839996394,None,331.2935166999232,None,j,1.698171199997887,331.79385839996394,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,180,4,-4,0.94,,,,,0,0,0,0,0,21,21,36,,,,,,,,,,,,,,,,,,,,,,,334.50573560001794,None,334.50573560001794,None,334.005433299928,None,j,1.4022828000597656,334.50573560001794,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,180,4,-4,1.03,,,,,0,0,0,0,0,22,22,25,,,,,,,,,,,,,,,,,,,,,,,336.9073335999856,None,336.9073335999856,None,336.4069922999479,None,f,1.4167942000785843,336.9073335999856,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,0,4,-4,0.97,,,,,0,0,0,0,0,23,23,51,,,,,,,,,,,,,,,,,,,,,,,339.33898329990916,None,339.33898329990916,None,338.8386411999818,None,j,1.3850707999663427,339.33898329990916,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
0,180,4,-4,1.15,,,,,0,0,0,0,0,24,24,27,,,,,,,,,,,,,,,,,,,,,,,341.7507070999127,None,341.7507070999127,None,341.25027439999394,None,f,1.3092309000203386,341.7507070999127,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
180,180,-4,4,1.15,,,,,0,0,0,0,0,25,25,34,,,,,,,,,,,,,,,,,,,,,,,344.0621860999381,None,344.0621860999381,None,343.5618725999957,None,j,1.5739093000302091,344.0621860999381,None,,,,,,,,,,,,,s,001,2021_Jul_12_1654,toilet,2021.1.3,99.88822517845452,
