ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
180,180,4,-4,1.15,,,,,0,0,0,0,0,0,0,41,,,,,,,,,,,,,,,,,191.89295990008395,None,space,81.44638269999996,191.89295990008395,None,274.358790300088,None,274.358790300088,None,273.8584482000442,None,f,0.4681659999769181,274.358790300088,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,0.94,,,,,0,0,0,0,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,275.8297765000025,None,275.8297765000025,None,275.3394497000845,None,f,0.4691762999864295,275.8297765000025,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,1.03,,,,,0,0,0,0,0,2,2,32,,,,,,,,,,,,,,,,,,,,,,,277.3107849000953,None,277.3107849000953,None,276.8104452000698,None,j,0.39636130002327263,277.3107849000953,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,1.0,,,,,0,0,0,0,0,3,3,31,,,,,,,,,,,,,,,,,,,,,,,278.7218310000608,None,278.7218310000608,None,278.2214002000401,None,j,1.0972342999884859,278.7218310000608,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,0.97,,,,,0,0,0,0,0,4,4,30,,,,,,,,,,,,,,,,,,,,,,,280.8332041000249,None,280.8332041000249,None,280.33282930008136,None,f,0.601869500009343,280.8332041000249,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,1.06,,,,,0,0,0,0,0,5,5,47,,,,,,,,,,,,,,,,,,,,,,,282.43425859999843,None,282.43425859999843,None,281.93391600006726,None,j,0.4406907999655232,282.43425859999843,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,4,-4,1.06,,,,,0,0,0,0,0,6,6,26,,,,,,,,,,,,,,,,,,,,,,,283.8752302000066,None,283.8752302000066,None,283.37490110006183,None,f,0.47180369996931404,283.8752302000066,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,1.0,,,,,0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,,,,,,,285.35623450006824,None,285.35623450006824,None,284.85589480004273,None,j,0.43073590006679296,285.35623450006824,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,4,-4,0.85,,,,,0,0,0,0,0,8,8,35,,,,,,,,,,,,,,,,,,,,,,,286.7872972000623,None,286.7872972000623,None,286.2868634000188,None,j,0.48766979994252324,286.7872972000623,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,1.06,,,,,0,0,0,0,0,9,9,12,,,,,,,,,,,,,,,,,,,,,,,288.27825000009034,None,288.27825000009034,None,287.77796219999436,None,f,0.5807334999553859,288.27825000009034,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,1.03,,,,,0,0,0,0,0,10,10,46,,,,,,,,,,,,,,,,,,,,,,,289.8592852000147,None,289.8592852000147,None,289.3589473000029,None,j,0.8397083999589086,289.8592852000147,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,-4,4,0.97,,,,,0,0,0,0,0,11,11,16,,,,,,,,,,,,,,,,,,,,,,,291.7005287000211,None,291.7005287000211,None,291.2001916000154,None,f,0.7905512999277562,291.7005287000211,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,0.85,,,,,0,0,0,0,0,12,12,7,,,,,,,,,,,,,,,,,,,,,,,293.50175100006163,None,293.50175100006163,None,293.00141430005897,None,j,0.4293072000145912,293.50175100006163,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,0.97,,,,,0,0,0,0,0,13,13,44,,,,,,,,,,,,,,,,,,,,,,,294.9427888999926,None,294.9427888999926,None,294.44238670007326,None,f,2.1881957000587136,294.9427888999926,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,-4,4,1.15,,,,,0,0,0,0,0,14,14,6,,,,,,,,,,,,,,,,,,,,,,,298.13491560006514,None,298.13491560006514,None,297.6345542999916,None,j,0.42004950006958097,298.13491560006514,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,-4,4,1.0,,,,,0,0,0,0,0,15,15,17,,,,,,,,,,,,,,,,,,,,,,,299.55585170001723,None,299.55585170001723,None,299.0555494000437,None,j,0.72748080000747,299.55585170001723,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,4,-4,1.0,,,,,0,0,0,0,0,16,16,52,,,,,,,,,,,,,,,,,,,,,,,301.29703270003665,None,301.29703270003665,None,300.79669400001876,None,f,2.4579208999639377,301.29703270003665,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,-4,4,1.06,,,,,0,0,0,0,0,17,17,19,,,,,,,,,,,,,,,,,,,,,,,304.7593806000659,None,304.7593806000659,None,304.25904160004575,None,j,0.531823500059545,304.7593806000659,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,-4,4,1.03,,,,,0,0,0,0,0,18,18,4,,,,,,,,,,,,,,,,,,,,,,,306.2904126000358,None,306.2904126000358,None,305.790079300059,None,j,0.45653649989981204,306.2904126000358,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,0.94,,,,,0,0,0,0,0,19,19,8,,,,,,,,,,,,,,,,,,,,,,,307.7514056999935,None,307.7514056999935,None,307.25106720009353,None,j,0.46767299994826317,307.7514056999935,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,1.03,,,,,0,0,0,0,0,20,20,11,,,,,,,,,,,,,,,,,,,,,,,309.2325034000678,None,309.2325034000678,None,308.73207170004025,None,j,0.7145994999445975,309.2325034000678,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,4,-4,0.85,,,,,0,0,0,0,0,21,21,49,,,,,,,,,,,,,,,,,,,,,,,310.95357920008246,None,310.95357920008246,None,310.4532554000616,None,j,0.5134916000533849,310.95357920008246,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,4,-4,1.03,,,,,0,0,0,0,0,22,22,53,,,,,,,,,,,,,,,,,,,,,,,312.4746041999897,None,312.4746041999897,None,311.97426540008746,None,f,1.4083470000186935,312.4746041999897,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,4,-4,0.97,,,,,0,0,0,0,0,23,23,37,,,,,,,,,,,,,,,,,,,,,,,314.88624080002774,None,314.88624080002774,None,314.38590210000984,None,f,0.6929461999097839,314.88624080002774,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,-4,4,0.94,,,,,0,0,0,0,0,24,24,15,,,,,,,,,,,,,,,,,,,,,,,316.5973976000678,None,316.5973976000678,None,316.09715940000024,None,f,0.8056515000062063,316.5973976000678,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,4,-4,1.03,,,,,0,0,0,0,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,318.41863279999234,None,318.41863279999234,None,317.91829330008477,None,j,1.656376100028865,318.41863279999234,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,-4,4,1.03,,,,,0,0,0,0,0,26,26,18,,,,,,,,,,,,,,,,,,,,,,,321.09044290008023,None,321.09044290008023,None,320.5901028000517,None,j,1.2246707000304013,321.09044290008023,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,-4,4,0.94,,,,,0,0,0,0,0,27,27,1,,,,,,,,,,,,,,,,,,,,,,,323.3220317000523,None,323.3220317000523,None,322.83162060007453,None,f,0.5770339999580756,323.3220317000523,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,-4,4,1.06,,,,,0,0,0,0,0,28,28,5,,,,,,,,,,,,,,,,,,,,,,,324.913063300075,None,324.913063300075,None,324.41278950008564,None,j,0.4900122999679297,324.913063300075,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,4,-4,1.15,,,,,0,0,0,0,0,29,29,55,,,,,,,,,,,,,,,,,,,,,,,326.40403860004153,None,326.40403860004153,None,325.90370070002973,None,f,0.5348654999397695,326.40403860004153,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,4,-4,0.85,,,,,0,0,0,0,0,30,30,21,,,,,,,,,,,,,,,,,,,,,,,327.94511159998365,None,327.94511159998365,None,327.44474170007743,None,j,0.5299231000244617,327.94511159998365,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,0.97,,,,,0,0,0,0,0,31,31,9,,,,,,,,,,,,,,,,,,,,,,,329.4861297000898,None,329.4861297000898,None,328.9857885000529,None,j,0.525024599977769,329.4861297000898,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,0.94,,,,,0,0,0,0,0,32,32,43,,,,,,,,,,,,,,,,,,,,,,,331.0272680000635,None,331.0272680000635,None,330.5269133000402,None,f,0.4877521999878809,331.0272680000635,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,4,-4,0.97,,,,,0,0,0,0,0,33,33,23,,,,,,,,,,,,,,,,,,,,,,,332.5282900000457,None,332.5282900000457,None,332.027949100011,None,j,0.5866310999263078,332.5282900000457,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,0.85,,,,,0,0,0,0,0,34,34,28,,,,,,,,,,,,,,,,,,,,,,,334.1192672000034,None,334.1192672000034,None,333.61892550007906,None,f,0.46767379995435476,334.1192672000034,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,4,-4,0.97,,,,,0,0,0,0,0,35,35,51,,,,,,,,,,,,,,,,,,,,,,,335.5902596000815,None,335.5902596000815,None,335.0899225000758,None,j,0.5167857999913394,335.5902596000815,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,-4,4,0.85,,,,,0,0,0,0,0,36,36,0,,,,,,,,,,,,,,,,,,,,,,,337.13130760006607,None,337.13130760006607,None,336.6309688000474,None,f,0.4478800999931991,337.13130760006607,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,4,-4,1.15,,,,,0,0,0,0,0,37,37,13,,,,,,,,,,,,,,,,,,,,,,,338.5923868000973,None,338.5923868000973,None,338.0919586000964,None,f,0.5547479999950156,338.5923868000973,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,-4,4,1.06,,,,,0,0,0,0,0,38,38,33,,,,,,,,,,,,,,,,,,,,,,,340.1633632000303,None,340.1633632000303,None,339.6630542000057,None,j,0.423584199976176,340.1633632000303,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,-4,4,0.85,,,,,0,0,0,0,0,39,39,14,,,,,,,,,,,,,,,,,,,,,,,341.5943335000193,None,341.5943335000193,None,341.0939883000683,None,f,0.41658710001502186,341.5943335000193,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,180,4,-4,1.15,,,,,0,0,0,0,0,40,40,27,,,,,,,,,,,,,,,,,,,,,,,343.01529060001485,None,343.01529060001485,None,342.5149515999947,None,f,0.48380739998538047,343.01529060001485,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,1.0,,,,,0,0,0,0,0,41,41,45,,,,,,,,,,,,,,,,,,,,,,,344.5163094000891,None,344.5163094000891,None,344.0159684000537,None,j,0.48678090004250407,344.5163094000891,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,4,-4,1.03,,,,,0,0,0,0,0,42,42,39,,,,,,,,,,,,,,,,,,,,,,,346.0274160000263,None,346.0274160000263,None,345.52700320002623,None,f,0.5916297000367194,346.0274160000263,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,4,-4,1.0,,,,,0,0,0,0,0,43,43,38,,,,,,,,,,,,,,,,,,,,,,,347.6284198000794,None,347.6284198000794,None,347.1281153000891,None,j,0.49455880001187325,347.6284198000794,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,0,-4,4,1.15,,,,,0,0,0,0,0,44,44,48,,,,,,,,,,,,,,,,,,,,,,,349.12943339999765,None,349.12943339999765,None,348.62909529998433,None,j,0.41751319996546954,349.12943339999765,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
0,0,-4,4,1.0,,,,,0,0,0,0,0,45,45,3,,,,,,,,,,,,,,,,,,,,,,,350.56040650000796,None,350.56040650000796,None,350.0600668999832,None,f,0.47467659995891154,350.56040650000796,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
180,180,4,-4,1.06,,,,,0,0,0,0,0,46,46,40,,,,,,,,,,,,,,,,,,,,,,,352.0614196000388,None,352.0614196000388,None,351.5610785000026,None,f,0.46168690000195056,352.0614196000388,None,,,,,,,,,,,,,f,001,2021_Jul_02_1155,toilet,2021.1.3,99.95941654023954,
