ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
180,0,-4,4,1.03,,,,,0,0,0,0,0,1,1,46,,,,,,,,,,,,,,,,,,,,,,,330.77340110001387,None,330.77340110001387,None,330.28305170001113,None,j,0.8325426000228617,330.77340110001387,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,180,4,-4,1.03,,,,,0,0,0,0,0,2,2,39,,,,,,,,,,,,,,,,,,,,,,,332.62472070002696,None,332.62472070002696,None,332.12431060001836,None,f,0.5171279000060167,332.62472070002696,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,180,-4,4,1.03,,,,,0,0,0,0,0,3,3,32,,,,,,,,,,,,,,,,,,,,,,,334.14567520000855,None,334.14567520000855,None,333.64536630001385,None,j,1.332188500004122,334.14567520000855,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,180,-4,4,0.85,,,,,0,0,0,0,0,4,4,28,,,,,,,,,,,,,,,,,,,,,,,336.47725910000736,None,336.47725910000736,None,335.9769121000136,None,f,0.8246606000175234,336.47725910000736,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,180,4,-4,1.0,,,,,0,0,0,0,0,5,5,24,,,,,,,,,,,,,,,,,,,,,,,338.31849530001637,None,338.31849530001637,None,337.81816130000516,None,j,0.6794528000173159,338.31849530001637,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,180,-4,4,0.97,,,,,0,0,0,0,0,6,6,30,,,,,,,,,,,,,,,,,,,,,,,340.0097413000185,None,340.0097413000185,None,339.5093066000263,None,f,1.1480754000076558,340.0097413000185,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,180,-4,4,1.0,,,,,0,0,0,0,0,7,7,17,,,,,,,,,,,,,,,,,,,,,,,342.17111110000405,None,342.17111110000405,None,341.67078000001493,None,j,0.9386566999892239,342.17111110000405,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,0,4,-4,0.97,,,,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,344.12243720001425,None,344.12243720001425,None,343.6220968000125,None,j,0.6034549000032712,344.12243720001425,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,180,4,-4,0.97,,,,,0,0,0,0,0,9,9,23,,,,,,,,,,,,,,,,,,,,,,,345.7435424000141,None,345.7435424000141,None,345.24319510001806,None,j,1.814386000012746,345.7435424000141,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
180,180,4,-4,1.06,,,,,0,0,0,0,0,10,10,40,,,,,,,,,,,,,,,,,,,,,,,348.5754554000159,None,348.5754554000159,None,348.07511410000734,None,f,0.7904349000018556,348.5754554000159,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
0,180,-4,4,1.06,,,,,0,0,0,0,0,11,11,19,,,,,,,,,,,,,,,,,,,,,,,350.3666742000205,None,350.3666742000205,None,349.8663326000096,None,j,1.12727709999308,350.3666742000205,None,,,,,,,p,001,2021_Jul_08_1534,toilet,2021.1.3,99.88872398050411,
