,sub,cond,x,y,rt
153,q,UU,1.15,1.0,0.5685361000068951
154,q,IU,1.0,0.0,0.5714668000000529
155,q,UU,1.03,0.0,0.8623734999855515
156,q,IU,0.94,0.0,0.6230856999754906
157,q,UI,0.85,0.0,0.7999963999900501
158,q,UI,1.06,1.0,0.5570770999765955
159,q,UI,0.94,0.0,0.6076053999713622
160,q,IU,0.97,0.0,0.5544626000046264
161,q,II,0.97,0.0,0.5935408000077587
162,q,IU,0.94,0.0,0.502398800017545
163,q,IU,1.06,1.0,0.6073188000009395
164,q,UU,0.97,0.0,0.7781886999728158
165,q,UI,1.15,1.0,0.5331953999993857
166,q,UU,1.0,1.0,0.5119764000119176
167,q,II,1.15,1.0,0.4849321999936364
168,q,II,1.06,1.0,0.481855899997754
169,q,UU,1.06,0.0,0.5748136999900453
170,q,UU,1.15,1.0,0.5298386000213213
171,q,II,1.0,0.0,0.7268364999908954
172,q,UU,1.03,1.0,0.5318076999974437
173,q,UU,0.85,0.0,0.5844863000093028
174,q,II,0.85,0.0,0.5936001999943983
175,q,II,1.03,1.0,0.7524764999980107
176,q,UU,0.85,0.0,0.5913077000004705
177,q,II,1.03,1.0,0.5582815999805462
178,q,IU,0.97,0.0,1.035238099982962
179,q,II,0.85,0.0,0.5137228000094183
180,q,UI,1.03,1.0,0.6467951999802608
181,q,IU,1.03,1.0,0.8577416999905836
182,q,UI,0.94,0.0,0.9924941000062972
183,q,UI,0.97,0.0,1.0289717999985442
184,q,IU,1.03,0.0,1.10962030000519
185,q,IU,1.06,1.0,0.7800660000066273
186,q,UU,1.0,0.0,0.6527403999934904
187,q,UI,0.97,0.0,0.9277328999887686
188,q,UI,1.06,1.0,0.6285289999796078
189,q,UU,0.94,0.0,0.7313988999812864
190,q,II,1.03,1.0,0.7181572999979835
191,q,II,1.15,1.0,0.5969427999807522
192,q,UI,0.85,0.0,0.7718564000097103
193,q,UU,1.03,1.0,0.7609191999945324
194,q,IU,1.0,0.0,0.6213439000130165
