"","sub","cond","pse","diff"
"1","n","UU",0.99796897880052,-0.00203102119948029
"2","n","UI",0.999999999999998,-1.66533453693773e-15
"3","n","IU",1,-3.33066907387547e-16
"4","n","II",0.995164055649285,-0.00483594435071499
