ori_st,ori_pr,xpos_st,xpos_pr,size,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wel_pra.started,wel_pra.stopped,resp_wel.keys,resp_wel.rt,resp_wel.started,resp_wel.stopped,standard_pra.started,standard_pra.stopped,prove_pra.started,prove_pra.stopped,fixation.started,fixation.stopped,resp_pra.keys,resp_pra.rt,resp_pra.started,resp_pra.stopped,instr.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,standard.started,standard.stopped,probe.started,probe.stopped,text.started,text.stopped,resp.keys,resp.rt,resp.started,resp.stopped,text_2.started,text_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
180,0,4,-4,0.97,,,,,0,0,0,0,0,1,1,51,,,,,,,,,,,,,,,,,,,,,,,298.34971900004894,None,298.34971900004894,None,297.84941290004645,None,j,0.5382303000660613,298.34971900004894,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,180,4,-4,0.94,,,,,0,0,0,0,0,2,2,22,,,,,,,,,,,,,,,,,,,,,,,299.8908357999753,None,299.8908357999753,None,299.39051339996513,None,j,1.0132277000229806,299.8908357999753,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,0,-4,4,0.85,,,,,0,0,0,0,0,3,3,42,,,,,,,,,,,,,,,,,,,,,,,301.91212950006593,None,301.91212950006593,None,301.4117873000214,None,f,0.4317657999927178,301.91212950006593,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,180,-4,4,1.03,,,,,0,0,0,0,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,303.34309690003283,None,303.34309690003283,None,302.84275690000504,None,j,0.44088680006098,303.34309690003283,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,180,-4,4,1.06,,,,,0,0,0,0,0,5,5,33,,,,,,,,,,,,,,,,,,,,,,,304.78407279995736,None,304.78407279995736,None,304.2837296000216,None,j,0.43983469996601343,304.78407279995736,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,180,4,-4,1.06,,,,,0,0,0,0,0,6,6,40,,,,,,,,,,,,,,,,,,,,,,,306.225133900065,None,306.225133900065,None,305.72471400001086,None,f,0.45503750001080334,306.225133900065,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,0,-4,4,1.03,,,,,0,0,0,0,0,7,7,46,,,,,,,,,,,,,,,,,,,,,,,307.6960868999595,None,307.6960868999595,None,307.1957107000053,None,f,0.7278238999424502,307.6960868999595,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,0,4,-4,1.0,,,,,0,0,0,0,0,8,8,52,,,,,,,,,,,,,,,,,,,,,,,309.42722299997695,None,309.42722299997695,None,308.9268914000131,None,j,0.7408679999643937,309.42722299997695,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,0,-4,4,0.85,,,,,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,311.16840540000703,None,311.16840540000703,None,310.66806130006444,None,f,0.5516366999363527,311.16840540000703,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,0,4,-4,0.97,,,,,0,0,0,0,0,10,10,9,,,,,,,,,,,,,,,,,,,,,,,312.7294592000544,None,312.7294592000544,None,312.2291192000266,None,j,0.9105216000461951,312.7294592000544,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,0,4,-4,0.85,,,,,0,0,0,0,0,11,11,7,,,,,,,,,,,,,,,,,,,,,,,314.6407605999848,None,314.6407605999848,None,314.14048279996496,None,j,0.5512775999959558,314.6407605999848,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,180,-4,4,0.94,,,,,0,0,0,0,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,316.2018088999903,None,316.2018088999903,None,315.70146590005606,None,f,0.5741895999526605,316.2018088999903,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,0,4,-4,1.0,,,,,0,0,0,0,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,317.7828792000655,None,317.7828792000655,None,317.2825406000484,None,f,0.5774102000286803,317.7828792000655,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,0,4,-4,0.94,,,,,0,0,0,0,0,14,14,50,,,,,,,,,,,,,,,,,,,,,,,319.3739569999743,None,319.3739569999743,None,318.8736246000044,None,j,0.4901032999623567,319.3739569999743,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
180,180,-4,4,1.15,,,,,0,0,0,0,0,15,15,34,,,,,,,,,,,,,,,,,,,,,,,320.87497450003866,None,320.87497450003866,None,320.3746360000223,None,j,0.4769926000153646,320.87497450003866,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
0,180,4,-4,1.03,,,,,0,0,0,0,0,16,16,25,,,,,,,,,,,,,,,,,,,,,,,322.3660184000619,None,322.3660184000619,None,321.86574090004433,None,f,0.5379008000018075,322.3660184000619,None,,,,,,,d,001,2021_Jul_01_1855,toilet,2021.1.3,99.8907195579627,
