inst1,inst2,pra,main
img/instc1.jpg,img/instc2.jpg,cond/pra1.csv,cond/cond1.csv
img/instc3.jpg,img/instc4.jpg,cond/pra2.csv,cond/cond2.csv
img/instc1.jpg,img/instc2.jpg,cond/pra3.csv,cond/cond3.csv
img/instc3.jpg,img/instc4.jpg,cond/pra4.csv,cond/cond4.csv
